Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
371;1.345;5;33,137;;;;;;;;;;;;;;;;;;;;;
372;3.995;3;52,432;;;;;;;;;;;;;;;;;;;;;
373;1.481;4;35,793;;;;;;;;;;;;;;;;;;;;;
374;3.533;3;52,481;;;;;;;;;;;;;;;;;;;;;
375;292;5;14,604;;;;;;;;;;;;;;;;;;;;;
376;457;3;16,529;;;;;;;;;;;;;;;;;;;;;
377;1.174;5;27,501;;;;;;;;;;;;;;;;;;;;;
378;354;3;16,49;;;;;;;;;;;;;;;;;;;;;
379;1.573;2;36,74;;;;;;;;;;;;;;;;;;;;;
380;2.106;4;44,865;;;;;;;;;;;;;;;;;;;;;
381;1.600;3;36,969;;;;;;;;;;;;;;;;;;;;;
382;2.705;4;47,994;;;;;;;;;;;;;;;;;;;;;
383;3.321;3;53,178;;;;;;;;;;;;;;;;;;;;;
384;953;4;27,265;;;;;;;;;;;;;;;;;;;;;
385;3.883;4;45,102;;;;;;;;;;;;;;;;;;;;;
386;983;4;27,159;;;;;;;;;;;;;;;;;;;;;
387;280;7;13,073;;;;;;;;;;;;;;;;;;;;;
388;1.310;4;28,111;;;;;;;;;;;;;;;;;;;;;
389;3.753;3;54,132;;;;;;;;;;;;;;;;;;;;;
390;1.354;4;34,15;;;;;;;;;;;;;;;;;;;;;
391;2.106;4;33,48;;;;;;;;;;;;;;;;;;;;;
392;313;5;17,523;;;;;;;;;;;;;;;;;;;;;
393;2.560;5;45,924;;;;;;;;;;;;;;;;;;;;;
394;1.070;5;27,424;;;;;;;;;;;;;;;;;;;;;
395;2.886;3;55,959;;;;;;;;;;;;;;;;;;;;;
396;576;2;16,718;;;;;;;;;;;;;;;;;;;;;
397;235;5;9,968;;;;;;;;;;;;;;;;;;;;;
398;2.371;2;47,288;;;;;;;;;;;;;;;;;;;;;
399;897;3;27,373;;;;;;;;;;;;;;;;;;;;;
400;2.746;4;45,121;;;;;;;;;;;;;;;;;;;;;
401;4.171;3;65,519;;;;;;;;;;;;;;;;;;;;;
402;1.345;3;35,082;;;;;;;;;;;;;;;;;;;;;
403;130;7;10,491;;;;;;;;;;;;;;;;;;;;;
404;1.359;4;29,201;;;;;;;;;;;;;;;;;;;;;
405;265;4;15,179;;;;;;;;;;;;;;;;;;;;;
406;948;4;28,789;;;;;;;;;;;;;;;;;;;;;
407;2.455;3;39,383;;;;;;;;;;;;;;;;;;;;;
408;2.973;3;46,832;;;;;;;;;;;;;;;;;;;;;
409;1.091;7;33,853;;;;;;;;;;;;;;;;;;;;;
410;3.514;4;59,513;;;;;;;;;;;;;;;;;;;;;
411;2.337;3;49,053;;;;;;;;;;;;;;;;;;;;;
412;2.339;4;41,967;;;;;;;;;;;;;;;;;;;;;
413;883;5;22,337;;;;;;;;;;;;;;;;;;;;;
414;7.606;4;98,773;;;;;;;;;;;;;;;;;;;;;
415;2.442;3;47,725;;;;;;;;;;;;;;;;;;;;;
416;1.134;4;29,468;;;;;;;;;;;;;;;;;;;;;
417;2.637;3;47,758;;;;;;;;;;;;;;;;;;;;;
418;2.049;3;44,945;;;;;;;;;;;;;;;;;;;;;
419;2.842;3;51,709;;;;;;;;;;;;;;;;;;;;;
420;1.124;4;31,315;;;;;;;;;;;;;;;;;;;;;
421;1.380;5;32,693;;;;;;;;;;;;;;;;;;;;;
422;964;5;30,173;;;;;;;;;;;;;;;;;;;;;
423;1.423;4;30,305;;;;;;;;;;;;;;;;;;;;;
424;1.512;5;31,434;;;;;;;;;;;;;;;;;;;;;
425;1.469;5;25,216;;;;;;;;;;;;;;;;;;;;;
426;2.607;3;44,343;;;;;;;;;;;;;;;;;;;;;
427;149;6;12,265;;;;;;;;;;;;;;;;;;;;;
428;1.823;3;35,706;;;;;;;;;;;;;;;;;;;;;
429;3.997;4;62,792;;;;;;;;;;;;;;;;;;;;;
430;979;4;20,86;;;;;;;;;;;;;;;;;;;;;
431;4.403;3;61,721;;;;;;;;;;;;;;;;;;;;;
432;1.350;6;35,622;;;;;;;;;;;;;;;;;;;;;
433;4.544;3;58,261;;;;;;;;;;;;;;;;;;;;;
434;788;4;19,573;;;;;;;;;;;;;;;;;;;;;
435;2.163;4;39,86;;;;;;;;;;;;;;;;;;;;;
436;2.348;4;31,023;;;;;;;;;;;;;;;;;;;;;
437;2.186;4;43,786;;;;;;;;;;;;;;;;;;;;;
438;1.174;7;35,692;;;;;;;;;;;;;;;;;;;;;
439;164;9;14,233;;;;;;;;;;;;;;;;;;;;;
440;1.995;5;39,473;;;;;;;;;;;;;;;;;;;;;
441;150;4;9,29;;;;;;;;;;;;;;;;;;;;;
442;4.643;2;54,853;;;;;;;;;;;;;;;;;;;;;
443;5.012;3;52,6;;;;;;;;;;;;;;;;;;;;;
444;3.618;3;69,567;;;;;;;;;;;;;;;;;;;;;
445;1.087;4;34,871;;;;;;;;;;;;;;;;;;;;;
446;4.084;4;64,246;;;;;;;;;;;;;;;;;;;;;
447;3.190;3;50,008;;;;;;;;;;;;;;;;;;;;;
448;1.212;5;26,966;;;;;;;;;;;;;;;;;;;;;
449;1.415;6;41,95;;;;;;;;;;;;;;;;;;;;;
450;4.497;3;61,663;;;;;;;;;;;;;;;;;;;;;
451;1.990;4;39,001;;;;;;;;;;;;;;;;;;;;;
452;974;4;30,846;;;;;;;;;;;;;;;;;;;;;
453;982;4;28,57;;;;;;;;;;;;;;;;;;;;;
454;2.463;2;56,648;;;;;;;;;;;;;;;;;;;;;
455;1.094;5;28,354;;;;;;;;;;;;;;;;;;;;;
456;400;4;18,46;;;;;;;;;;;;;;;;;;;;;
457;505;2;20,186;;;;;;;;;;;;;;;;;;;;;
458;3.181;4;64,457;;;;;;;;;;;;;;;;;;;;;
459;2.246;5;41,129;;;;;;;;;;;;;;;;;;;;;
460;4.528;4;49,166;;;;;;;;;;;;;;;;;;;;;
461;2.354;3;34,684;;;;;;;;;;;;;;;;;;;;;
462;503;4;23,98;;;;;;;;;;;;;;;;;;;;;
463;577;7;20,454;;;;;;;;;;;;;;;;;;;;;
464;1.469;4;26,465;;;;;;;;;;;;;;;;;;;;;
465;3.003;3;45,953;;;;;;;;;;;;;;;;;;;;;
466;2.139;3;37,224;;;;;;;;;;;;;;;;;;;;;
467;799;4;27,081;;;;;;;;;;;;;;;;;;;;;
468;1.033;4;28,173;;;;;;;;;;;;;;;;;;;;;
469;356;4;18,898;;;;;;;;;;;;;;;;;;;;;
470;750;4;24,828;;;;;;;;;;;;;;;;;;;;;
471;2.621;2;50,605;;;;;;;;;;;;;;;;;;;;;
472;823;4;30,342;;;;;;;;;;;;;;;;;;;;;
473;1.033;3;30,202;;;;;;;;;;;;;;;;;;;;;
474;1.558;4;39,428;;;;;;;;;;;;;;;;;;;;;
475;801;5;25,189;;;;;;;;;;;;;;;;;;;;;
476;2.174;4;40,006;;;;;;;;;;;;;;;;;;;;;
477;4.897;9;48,867;;;;;;;;;;;;;;;;;;;;;
478;383;4;19,047;;;;;;;;;;;;;;;;;;;;;
479;1.339;5;38,057;;;;;;;;;;;;;;;;;;;;;
480;893;4;30,723;;;;;;;;;;;;;;;;;;;;;
481;561;4;19,966;;;;;;;;;;;;;;;;;;;;;
482;2.235;3;48,562;;;;;;;;;;;;;;;;;;;;;
483;839;3;28,838;;;;;;;;;;;;;;;;;;;;;
484;251;36;10,362;;;;;;;;;;;;;;;;;;;;;
485;1.707;6;47,742;;;;;;;;;;;;;;;;;;;;;
486;951;3;19,587;;;;;;;;;;;;;;;;;;;;;
487;5.465;3;64,425;;;;;;;;;;;;;;;;;;;;;
488;3.391;1;46,844;;;;;;;;;;;;;;;;;;;;;
489;2.658;3;53,258;;;;;;;;;;;;;;;;;;;;;
490;2.864;6;50,049;;;;;;;;;;;;;;;;;;;;;
491;1.168;4;25,847;;;;;;;;;;;;;;;;;;;;;
492;2.651;4;40,281;;;;;;;;;;;;;;;;;;;;;
493;311;4;15,996;;;;;;;;;;;;;;;;;;;;;
494;1.457;4;26,596;;;;;;;;;;;;;;;;;;;;;
495;1.659;4;44,615;;;;;;;;;;;;;;;;;;;;;
496;2.436;5;42,09;;;;;;;;;;;;;;;;;;;;;
497;4.302;2;57,558;;;;;;;;;;;;;;;;;;;;;
498;883;5;32,827;;;;;;;;;;;;;;;;;;;;;
499;887;4;25,067;;;;;;;;;;;;;;;;;;;;;
500;1.737;5;43,465;;;;;;;;;;;;;;;;;;;;;
501;432;5;20,307;;;;;;;;;;;;;;;;;;;;;
502;1.649;3;33,569;;;;;;;;;;;;;;;;;;;;;
503;4.442;3;70,944;;;;;;;;;;;;;;;;;;;;;
504;3.215;3;36,739;;;;;;;;;;;;;;;;;;;;;
505;1.069;3;25,822;;;;;;;;;;;;;;;;;;;;;
506;629;4;27,559;;;;;;;;;;;;;;;;;;;;;
507;1.904;3;44,763;;;;;;;;;;;;;;;;;;;;;
508;1.854;4;41,261;;;;;;;;;;;;;;;;;;;;;
509;562;5;28,496;;;;;;;;;;;;;;;;;;;;;
510;5.467;3;55,291;;;;;;;;;;;;;;;;;;;;;
511;4.471;3;68,042;;;;;;;;;;;;;;;;;;;;;
512;762;4;23,519;;;;;;;;;;;;;;;;;;;;;
513;4.544;3;54,612;;;;;;;;;;;;;;;;;;;;;
514;1.852;3;32,753;;;;;;;;;;;;;;;;;;;;;
515;1.068;5;27,751;;;;;;;;;;;;;;;;;;;;;
516;1.164;4;36,18;;;;;;;;;;;;;;;;;;;;;
517;878;1;26,788;;;;;;;;;;;;;;;;;;;;;
518;710;3;27,028;;;;;;;;;;;;;;;;;;;;;
519;838;4;24,834;;;;;;;;;;;;;;;;;;;;;
520;117;3;12,352;;;;;;;;;;;;;;;;;;;;;
521;1.812;5;42,683;;;;;;;;;;;;;;;;;;;;;
522;3.819;5;61,157;;;;;;;;;;;;;;;;;;;;;
523;1.141;4;22,739;;;;;;;;;;;;;;;;;;;;;
524;2.530;5;53,222;;;;;;;;;;;;;;;;;;;;;
525;1.286;3;35,887;;;;;;;;;;;;;;;;;;;;;
526;140;5;10,251;;;;;;;;;;;;;;;;;;;;;
527;2.105;4;39,693;;;;;;;;;;;;;;;;;;;;;
528;1.150;4;33,31;;;;;;;;;;;;;;;;;;;;;
529;3.681;2;50,898;;;;;;;;;;;;;;;;;;;;;
530;1.420;3;37,095;;;;;;;;;;;;;;;;;;;;;
531;3.512;3;54,051;;;;;;;;;;;;;;;;;;;;;
532;1.704;3;42,693;;;;;;;;;;;;;;;;;;;;;
533;332;5;19,46;;;;;;;;;;;;;;;;;;;;;
534;935;5;23,002;;;;;;;;;;;;;;;;;;;;;
535;2.135;3;42,918;;;;;;;;;;;;;;;;;;;;;
536;372;3;16,95;;;;;;;;;;;;;;;;;;;;;
537;753;4;28,594;;;;;;;;;;;;;;;;;;;;;
538;2.304;3;43,489;;;;;;;;;;;;;;;;;;;;;
539;319;3;21,201;;;;;;;;;;;;;;;;;;;;;
540;4.163;2;57,009;;;;;;;;;;;;;;;;;;;;;
541;2.063;4;36,18;;;;;;;;;;;;;;;;;;;;;
542;1.045;4;27,651;;;;;;;;;;;;;;;;;;;;;
543;2.851;4;51,399;;;;;;;;;;;;;;;;;;;;;
544;890;4;23,452;;;;;;;;;;;;;;;;;;;;;
545;756;3;29,003;;;;;;;;;;;;;;;;;;;;;
546;1.635;6;33,129;;;;;;;;;;;;;;;;;;;;;
547;254;6;16,723;;;;;;;;;;;;;;;;;;;;;
548;4.422;2;65,628;;;;;;;;;;;;;;;;;;;;;
549;211;4;9,226;;;;;;;;;;;;;;;;;;;;;
550;1.300;1;24,12;;;;;;;;;;;;;;;;;;;;;
551;1.205;5;30,074;;;;;;;;;;;;;;;;;;;;;
552;4.258;4;66,142;;;;;;;;;;;;;;;;;;;;;
553;3.369;2;49,221;;;;;;;;;;;;;;;;;;;;;
554;1.979;1;39,57;;;;;;;;;;;;;;;;;;;;;
555;1.042;6;27,588;;;;;;;;;;;;;;;;;;;;;
556;122;9;10,761;;;;;;;;;;;;;;;;;;;;;
557;3.830;2;52,013;;;;;;;;;;;;;;;;;;;;;
558;519;6;29,864;;;;;;;;;;;;;;;;;;;;;
559;2.520;6;52,837;;;;;;;;;;;;;;;;;;;;;
560;948;3;31,316;;;;;;;;;;;;;;;;;;;;;
561;4.039;4;47,996;;;;;;;;;;;;;;;;;;;;;
562;1.323;3;26,832;;;;;;;;;;;;;;;;;;;;;
563;2.373;4;38,306;;;;;;;;;;;;;;;;;;;;;
564;780;5;29,961;;;;;;;;;;;;;;;;;;;;;
565;1.654;4;27,96;;;;;;;;;;;;;;;;;;;;;
566;2.434;3;44,513;;;;;;;;;;;;;;;;;;;;;
567;2.315;5;51,855;;;;;;;;;;;;;;;;;;;;;
568;2.087;3;45,086;;;;;;;;;;;;;;;;;;;;;
569;370;1;18,026;;;;;;;;;;;;;;;;;;;;;
570;4.523;4;65,035;;;;;;;;;;;;;;;;;;;;;
571;790;4;26,54;;;;;;;;;;;;;;;;;;;;;
572;3.346;4;57,55;;;;;;;;;;;;;;;;;;;;;
573;2.368;4;34,699;;;;;;;;;;;;;;;;;;;;;
574;519;5;22,352;;;;;;;;;;;;;;;;;;;;;
575;1.290;4;32,298;;;;;;;;;;;;;;;;;;;;;
576;1.552;2;33,777;;;;;;;;;;;;;;;;;;;;;
577;643;5;16,003;;;;;;;;;;;;;;;;;;;;;
578;2.081;4;39,252;;;;;;;;;;;;;;;;;;;;;
579;2.102;2;49,288;;;;;;;;;;;;;;;;;;;;;
580;4.347;3;70,13;;;;;;;;;;;;;;;;;;;;;
581;774;5;23,595;;;;;;;;;;;;;;;;;;;;;
582;3.379;4;58,17;;;;;;;;;;;;;;;;;;;;;
583;995;2;20,346;;;;;;;;;;;;;;;;;;;;;
584;1.585;4;28,453;;;;;;;;;;;;;;;;;;;;;
585;1.029;5;33,123;;;;;;;;;;;;;;;;;;;;;
586;3.395;4;52,8;;;;;;;;;;;;;;;;;;;;;
587;465;5;20,464;;;;;;;;;;;;;;;;;;;;;
588;570;3;22,33;;;;;;;;;;;;;;;;;;;;;
589;293;5;20,072;;;;;;;;;;;;;;;;;;;;;
590;946;7;23,17;;;;;;;;;;;;;;;;;;;;;
591;2.537;6;35,803;;;;;;;;;;;;;;;;;;;;;
592;2.590;5;51,848;;;;;;;;;;;;;;;;;;;;;
593;473;4;20,681;;;;;;;;;;;;;;;;;;;;;
594;132;5;8,85;;;;;;;;;;;;;;;;;;;;;
595;1.723;5;43,872;;;;;;;;;;;;;;;;;;;;;
596;1.896;3;41,644;;;;;;;;;;;;;;;;;;;;;
597;1.773;3;33,165;;;;;;;;;;;;;;;;;;;;;
598;1.313;5;35,13;;;;;;;;;;;;;;;;;;;;;
599;1.088;5;29,273;;;;;;;;;;;;;;;;;;;;;
600;891;6;26,993;;;;;;;;;;;;;;;;;;;;;
601;1.409;4;38,01;;;;;;;;;;;;;;;;;;;;;
602;902;10;26,761;;;;;;;;;;;;;;;;;;;;;
603;552;3;18,275;;;;;;;;;;;;;;;;;;;;;
604;864;4;23,786;;;;;;;;;;;;;;;;;;;;;
605;313;4;19,07;;;;;;;;;;;;;;;;;;;;;
606;707;3;27,585;;;;;;;;;;;;;;;;;;;;;
607;1.536;4;31,072;;;;;;;;;;;;;;;;;;;;;
608;2.014;17;36,178;;;;;;;;;;;;;;;;;;;;;
609;3.839;2;59,778;;;;;;;;;;;;;;;;;;;;;
610;1.670;3;31,007;;;;;;;;;;;;;;;;;;;;;
611;5.217;2;77,204;;;;;;;;;;;;;;;;;;;;;
612;467;4;18,439;;;;;;;;;;;;;;;;;;;;;
613;1.927;4;39,038;;;;;;;;;;;;;;;;;;;;;
614;3.847;3;55,176;;;;;;;;;;;;;;;;;;;;;
615;192;5;11,314;;;;;;;;;;;;;;;;;;;;;
616;1.299;2;43,133;;;;;;;;;;;;;;;;;;;;;
617;2.820;6;55,039;;;;;;;;;;;;;;;;;;;;;
618;276;8;18,25;;;;;;;;;;;;;;;;;;;;;
619;5.526;3;64,716;;;;;;;;;;;;;;;;;;;;;
620;110;2;7,572;;;;;;;;;;;;;;;;;;;;;
621;2.980;4;45,848;;;;;;;;;;;;;;;;;;;;;
622;1.238;3;35,356;;;;;;;;;;;;;;;;;;;;;
623;118;8;11,498;;;;;;;;;;;;;;;;;;;;;
624;5.725;2;73,517;;;;;;;;;;;;;;;;;;;;;
625;2.469;3;53,75;;;;;;;;;;;;;;;;;;;;;
626;580;5;24,608;;;;;;;;;;;;;;;;;;;;;
627;180;4;8,813;;;;;;;;;;;;;;;;;;;;;
628;1.049;4;31,59;;;;;;;;;;;;;;;;;;;;;
629;1.873;3;46,725;;;;;;;;;;;;;;;;;;;;;
630;161;2;8,617;;;;;;;;;;;;;;;;;;;;;
631;2.556;3;49,504;;;;;;;;;;;;;;;;;;;;;
632;1.895;4;35,2;;;;;;;;;;;;;;;;;;;;;
633;143;14;14,222;;;;;;;;;;;;;;;;;;;;;
634;794;4;25,76;;;;;;;;;;;;;;;;;;;;;
635;1.794;5;40,342;;;;;;;;;;;;;;;;;;;;;
636;504;6;17,903;;;;;;;;;;;;;;;;;;;;;
637;2.768;3;49,315;;;;;;;;;;;;;;;;;;;;;
638;3.280;5;52,919;;;;;;;;;;;;;;;;;;;;;
639;373;6;19,137;;;;;;;;;;;;;;;;;;;;;
640;1.056;3;32,702;;;;;;;;;;;;;;;;;;;;;
641;2.801;4;52,4;;;;;;;;;;;;;;;;;;;;;
642;2.976;5;46,373;;;;;;;;;;;;;;;;;;;;;
643;1.848;1;33,916;;;;;;;;;;;;;;;;;;;;;
644;171;4;12,665;;;;;;;;;;;;;;;;;;;;;
645;164;30;12,581;;;;;;;;;;;;;;;;;;;;;
646;1.120;4;25,403;;;;;;;;;;;;;;;;;;;;;
647;3.594;4;56,351;;;;;;;;;;;;;;;;;;;;;
648;638;4;24,658;;;;;;;;;;;;;;;;;;;;;
649;674;3;27,411;;;;;;;;;;;;;;;;;;;;;
650;1.165;2;33,247;;;;;;;;;;;;;;;;;;;;;
651;3.798;2;44,601;;;;;;;;;;;;;;;;;;;;;
652;1.699;5;31,262;;;;;;;;;;;;;;;;;;;;;
653;1.297;5;32,806;;;;;;;;;;;;;;;;;;;;;
654;273;2;14,861;;;;;;;;;;;;;;;;;;;;;
655;1.408;3;33,589;;;;;;;;;;;;;;;;;;;;;
656;3.188;4;53,295;;;;;;;;;;;;;;;;;;;;;
657;885;2;28,446;;;;;;;;;;;;;;;;;;;;;
658;2.417;5;42,141;;;;;;;;;;;;;;;;;;;;;
659;972;3;24,755;;;;;;;;;;;;;;;;;;;;;
660;1.665;4;40,71;;;;;;;;;;;;;;;;;;;;;
661;135;3;7,267;;;;;;;;;;;;;;;;;;;;;
662;643;4;28,428;;;;;;;;;;;;;;;;;;;;;
663;1.696;5;43,253;;;;;;;;;;;;;;;;;;;;;
664;293;1;13,737;;;;;;;;;;;;;;;;;;;;;
665;1.823;3;40,813;;;;;;;;;;;;;;;;;;;;;
666;1.011;6;26,969;;;;;;;;;;;;;;;;;;;;;
667;6.193;1;66,954;;;;;;;;;;;;;;;;;;;;;
668;491;5;20,69;;;;;;;;;;;;;;;;;;;;;
669;2.372;4;39,398;;;;;;;;;;;;;;;;;;;;;
670;2.285;4;35,136;;;;;;;;;;;;;;;;;;;;;
671;1.362;4;33,094;;;;;;;;;;;;;;;;;;;;;
672;1.715;3;38,214;;;;;;;;;;;;;;;;;;;;;
673;665;2;18,812;;;;;;;;;;;;;;;;;;;;;
674;819;5;29,483;;;;;;;;;;;;;;;;;;;;;
675;1.633;4;39,86;;;;;;;;;;;;;;;;;;;;;
676;2.134;3;34,712;;;;;;;;;;;;;;;;;;;;;
677;505;6;18,493;;;;;;;;;;;;;;;;;;;;;
678;1.896;4;38,509;;;;;;;;;;;;;;;;;;;;;
679;107;33;13,528;;;;;;;;;;;;;;;;;;;;;
680;228;1;13,333;;;;;;;;;;;;;;;;;;;;;
681;1.783;3;33,149;;;;;;;;;;;;;;;;;;;;;
682;1.531;5;34,398;;;;;;;;;;;;;;;;;;;;;
683;1.384;4;28,74;;;;;;;;;;;;;;;;;;;;;
684;2.040;2;46,591;;;;;;;;;;;;;;;;;;;;;
685;3.359;3;61,929;;;;;;;;;;;;;;;;;;;;;
686;135;3;10,966;;;;;;;;;;;;;;;;;;;;;
687;1.743;4;41,527;;;;;;;;;;;;;;;;;;;;;
688;1.028;4;32,851;;;;;;;;;;;;;;;;;;;;;
689;1.880;4;34,727;;;;;;;;;;;;;;;;;;;;;
690;1.203;3;25,303;;;;;;;;;;;;;;;;;;;;;
691;4.048;2;66,847;;;;;;;;;;;;;;;;;;;;;
692;2.288;5;42,741;;;;;;;;;;;;;;;;;;;;;
693;1.907;3;26,727;;;;;;;;;;;;;;;;;;;;;
694;1.992;5;39,453;;;;;;;;;;;;;;;;;;;;;
695;1.514;5;40,766;;;;;;;;;;;;;;;;;;;;;
696;454;5;17,893;;;;;;;;;;;;;;;;;;;;;
697;2.180;3;37,476;;;;;;;;;;;;;;;;;;;;;
698;1.544;5;35,702;;;;;;;;;;;;;;;;;;;;;
699;1.845;5;38,186;;;;;;;;;;;;;;;;;;;;;
700;1.281;4;34,056;;;;;;;;;;;;;;;;;;;;;
701;292;10;13,422;;;;;;;;;;;;;;;;;;;;;
702;2.838;3;47,724;;;;;;;;;;;;;;;;;;;;;
703;1.964;5;48,732;;;;;;;;;;;;;;;;;;;;;
704;170;2;9,945;;;;;;;;;;;;;;;;;;;;;
705;644;4;28,355;;;;;;;;;;;;;;;;;;;;;
706;1.603;3;32,464;;;;;;;;;;;;;;;;;;;;;
707;1.537;9;37,013;;;;;;;;;;;;;;;;;;;;;
708;3.121;5;52,414;;;;;;;;;;;;;;;;;;;;;
709;1.784;3;50,697;;;;;;;;;;;;;;;;;;;;;
710;838;5;26,054;;;;;;;;;;;;;;;;;;;;;
711;642;5;25,861;;;;;;;;;;;;;;;;;;;;;
712;729;6;27,536;;;;;;;;;;;;;;;;;;;;;
713;1.791;2;34,557;;;;;;;;;;;;;;;;;;;;;
714;10.740;1;93,201;;;;;;;;;;;;;;;;;;;;;
715;1.522;6;36,47;;;;;;;;;;;;;;;;;;;;;
716;3.395;4;62,291;;;;;;;;;;;;;;;;;;;;;
717;2.782;2;45,272;;;;;;;;;;;;;;;;;;;;;
718;1.521;2;34,69;;;;;;;;;;;;;;;;;;;;;
719;1.161;4;35,444;;;;;;;;;;;;;;;;;;;;;
720;4.901;4;65,207;;;;;;;;;;;;;;;;;;;;;
721;2.703;8;38,582;;;;;;;;;;;;;;;;;;;;;
722;723;4;21,5;;;;;;;;;;;;;;;;;;;;;
723;3.318;3;60,798;;;;;;;;;;;;;;;;;;;;;
724;1.402;4;27,136;;;;;;;;;;;;;;;;;;;;;
725;122;20;13,522;;;;;;;;;;;;;;;;;;;;;
726;1.811;5;47,394;;;;;;;;;;;;;;;;;;;;;
727;513;4;16,475;;;;;;;;;;;;;;;;;;;;;
728;3.627;2;69,05;;;;;;;;;;;;;;;;;;;;;
729;1.242;4;22,819;;;;;;;;;;;;;;;;;;;;;
730;715;5;18,872;;;;;;;;;;;;;;;;;;;;;
731;547;4;22,833;;;;;;;;;;;;;;;;;;;;;
732;2.013;4;41,879;;;;;;;;;;;;;;;;;;;;;
733;1.011;3;26,061;;;;;;;;;;;;;;;;;;;;;
734;2.534;5;47,602;;;;;;;;;;;;;;;;;;;;;
735;2.686;2;38,596;;;;;;;;;;;;;;;;;;;;;
736;594;4;20,493;;;;;;;;;;;;;;;;;;;;;
737;2.121;5;52,156;;;;;;;;;;;;;;;;;;;;;
738;3.475;6;51,474;;;;;;;;;;;;;;;;;;;;;
739;1.028;2;30,808;;;;;;;;;;;;;;;;;;;;;
740;1.399;4;34,803;;;;;;;;;;;;;;;;;;;;;
741;846;5;21,677;;;;;;;;;;;;;;;;;;;;;
742;2.249;3;45,523;;;;;;;;;;;;;;;;;;;;;
743;1.453;4;30,431;;;;;;;;;;;;;;;;;;;;;
744;688;5;25,393;;;;;;;;;;;;;;;;;;;;;
745;1.534;3;34,785;;;;;;;;;;;;;;;;;;;;;
746;1.607;4;39,501;;;;;;;;;;;;;;;;;;;;;
747;1.304;3;35,28;;;;;;;;;;;;;;;;;;;;;
748;2.252;4;44,537;;;;;;;;;;;;;;;;;;;;;
749;1.397;2;27,512;;;;;;;;;;;;;;;;;;;;;
750;761;4;31,097;;;;;;;;;;;;;;;;;;;;;
751;3.551;2;55,952;;;;;;;;;;;;;;;;;;;;;
752;139;5;12,419;;;;;;;;;;;;;;;;;;;;;
753;1.641;2;34,485;;;;;;;;;;;;;;;;;;;;;
754;672;16;30,513;;;;;;;;;;;;;;;;;;;;;
755;162;3;12,968;;;;;;;;;;;;;;;;;;;;;
756;2.749;50;50,105;;;;;;;;;;;;;;;;;;;;;
757;917;5;30,605;;;;;;;;;;;;;;;;;;;;;
758;3.058;3;52,715;;;;;;;;;;;;;;;;;;;;;
759;1.417;3;34,793;;;;;;;;;;;;;;;;;;;;;
760;1.935;2;35,968;;;;;;;;;;;;;;;;;;;;;
761;1.374;4;38,092;;;;;;;;;;;;;;;;;;;;;
762;3.385;4;63,262;;;;;;;;;;;;;;;;;;;;;
763;2.875;4;45,157;;;;;;;;;;;;;;;;;;;;;
764;410;1;17,533;;;;;;;;;;;;;;;;;;;;;
765;120;31;13,401;;;;;;;;;;;;;;;;;;;;;
766;4.159;4;59,259;;;;;;;;;;;;;;;;;;;;;
767;4.033;3;43,039;;;;;;;;;;;;;;;;;;;;;
768;169;7;10,879;;;;;;;;;;;;;;;;;;;;;
769;3.409;2;45,266;;;;;;;;;;;;;;;;;;;;;
770;369;4;19,466;;;;;;;;;;;;;;;;;;;;;
771;1.773;2;41,796;;;;;;;;;;;;;;;;;;;;;
772;2.006;3;45,401;;;;;;;;;;;;;;;;;;;;;
773;214;2;12,048;;;;;;;;;;;;;;;;;;;;;
774;2.835;7;52,758;;;;;;;;;;;;;;;;;;;;;
775;902;6;25,134;;;;;;;;;;;;;;;;;;;;;
776;819;4;26,124;;;;;;;;;;;;;;;;;;;;;
777;2.690;4;51,692;;;;;;;;;;;;;;;;;;;;;
778;267;6;15,279;;;;;;;;;;;;;;;;;;;;;
779;1.147;3;32,357;;;;;;;;;;;;;;;;;;;;;
780;3.452;4;58,025;;;;;;;;;;;;;;;;;;;;;
781;1.174;5;29,843;;;;;;;;;;;;;;;;;;;;;
782;1.360;2;35,07;;;;;;;;;;;;;;;;;;;;;
783;3.307;3;58,532;;;;;;;;;;;;;;;;;;;;;
784;2.461;4;40,577;;;;;;;;;;;;;;;;;;;;;
785;2.673;3;44,875;;;;;;;;;;;;;;;;;;;;;
786;3.217;1;44,914;;;;;;;;;;;;;;;;;;;;;
787;2.548;3;49,231;;;;;;;;;;;;;;;;;;;;;
788;2.420;4;48,93;;;;;;;;;;;;;;;;;;;;;
789;575;2;17,821;;;;;;;;;;;;;;;;;;;;;
790;3.402;2;49,68;;;;;;;;;;;;;;;;;;;;;
791;1.186;1;23,756;;;;;;;;;;;;;;;;;;;;;
792;2.793;3;46,341;;;;;;;;;;;;;;;;;;;;;
793;3.424;2;53,333;;;;;;;;;;;;;;;;;;;;;
794;1.201;5;28,038;;;;;;;;;;;;;;;;;;;;;
795;1.035;3;33,927;;;;;;;;;;;;;;;;;;;;;
