Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
77;979;2;23,472;;;;;;;;;;;;;;;;;;;;;
78;3.114;2;42,882;;;;;;;;;;;;;;;;;;;;;
79;2.424;2;48,62;;;;;;;;;;;;;;;;;;;;;
80;3.122;2;51,407;;;;;;;;;;;;;;;;;;;;;
81;1.498;4;43,912;;;;;;;;;;;;;;;;;;;;;
82;2.287;3;51,056;;;;;;;;;;;;;;;;;;;;;
83;3.588;2;59,558;;;;;;;;;;;;;;;;;;;;;
84;935;1;24,836;;;;;;;;;;;;;;;;;;;;;
85;2.443;4;48,397;;;;;;;;;;;;;;;;;;;;;
86;395;4;20,695;;;;;;;;;;;;;;;;;;;;;
87;1.070;4;37,127;;;;;;;;;;;;;;;;;;;;;
88;835;2;23,524;;;;;;;;;;;;;;;;;;;;;
89;1.318;4;35,371;;;;;;;;;;;;;;;;;;;;;
90;2.200;4;41,414;;;;;;;;;;;;;;;;;;;;;
91;2.264;3;43,775;;;;;;;;;;;;;;;;;;;;;
92;363;5;16,217;;;;;;;;;;;;;;;;;;;;;
93;2.252;4;41,965;;;;;;;;;;;;;;;;;;;;;
94;1.742;4;40,76;;;;;;;;;;;;;;;;;;;;;
95;1.326;4;36,462;;;;;;;;;;;;;;;;;;;;;
96;3.369;4;51,605;;;;;;;;;;;;;;;;;;;;;
97;1.396;3;31,738;;;;;;;;;;;;;;;;;;;;;
98;1.513;4;44,415;;;;;;;;;;;;;;;;;;;;;
99;433;5;18,806;;;;;;;;;;;;;;;;;;;;;
100;2.331;2;46,02;;;;;;;;;;;;;;;;;;;;;
101;876;1;31,424;;;;;;;;;;;;;;;;;;;;;
102;441;4;22,459;;;;;;;;;;;;;;;;;;;;;
103;3.494;2;55,078;;;;;;;;;;;;;;;;;;;;;
104;544;5;20,191;;;;;;;;;;;;;;;;;;;;;
105;130;4;11,314;;;;;;;;;;;;;;;;;;;;;
106;2.899;2;41,329;;;;;;;;;;;;;;;;;;;;;
107;2.750;2;57,794;;;;;;;;;;;;;;;;;;;;;
108;2.998;3;59,52;;;;;;;;;;;;;;;;;;;;;
109;194;5;15,04;;;;;;;;;;;;;;;;;;;;;
110;376;5;15,292;;;;;;;;;;;;;;;;;;;;;
111;2.936;2;47,304;;;;;;;;;;;;;;;;;;;;;
112;881;4;29,442;;;;;;;;;;;;;;;;;;;;;
113;583;3;19,345;;;;;;;;;;;;;;;;;;;;;
114;1.588;3;44,001;;;;;;;;;;;;;;;;;;;;;
115;1.094;4;22,49;;;;;;;;;;;;;;;;;;;;;
116;638;4;23,895;;;;;;;;;;;;;;;;;;;;;
117;1.650;5;39,39;;;;;;;;;;;;;;;;;;;;;
118;1.211;4;34,547;;;;;;;;;;;;;;;;;;;;;
119;1.108;5;34,493;;;;;;;;;;;;;;;;;;;;;
120;1.297;3;30,677;;;;;;;;;;;;;;;;;;;;;
121;1.096;4;34,091;;;;;;;;;;;;;;;;;;;;;
122;2.278;3;43,514;;;;;;;;;;;;;;;;;;;;;
123;3.377;3;56,253;;;;;;;;;;;;;;;;;;;;;
124;2.144;3;38,673;;;;;;;;;;;;;;;;;;;;;
125;1.095;6;33,048;;;;;;;;;;;;;;;;;;;;;
126;3.961;3;61,156;;;;;;;;;;;;;;;;;;;;;
127;1.125;3;32,224;;;;;;;;;;;;;;;;;;;;;
128;2.582;4;33,671;;;;;;;;;;;;;;;;;;;;;
129;1.786;2;40,148;;;;;;;;;;;;;;;;;;;;;
130;819;3;27,567;;;;;;;;;;;;;;;;;;;;;
131;2.023;3;44,378;;;;;;;;;;;;;;;;;;;;;
132;1.855;5;38,366;;;;;;;;;;;;;;;;;;;;;
133;1.962;2;29,804;;;;;;;;;;;;;;;;;;;;;
134;1.482;4;29,694;;;;;;;;;;;;;;;;;;;;;
135;2.266;4;44,254;;;;;;;;;;;;;;;;;;;;;
136;1.411;3;36,407;;;;;;;;;;;;;;;;;;;;;
